,기업명,PER,EPS,PER(krx),EPS(krx),추정PER,추정EPS,PBR,BPS,배당수익률,이자보상배율,유동비율
290670,대보마그네틱,38.48,"1,254",38.48,"1,254",N/A,N/A,5.25,"9,191",0.31,N/A,787.3
285490,노바텍,15.33,"1,745",15.30,"1,748",N/A,N/A,3.97,"6,730",N/A,N/A,N/A
290650,엘앤씨바이오,27.09,827,26.99,830,N/A,N/A,3.09,"7,252",N/A,303.5,N/A
306620,DB금융스팩6호,N/A,N/A,N/A,N/A,N/A,N/A,1.15,"1,818",N/A,N/A,N/A
108490,로보티즈,62.66,241,62.66,241,N/A,N/A,2.76,"5,467",N/A,N/A,N/A
153710,옵티팜,-223.96,-48,N/A,N/A,N/A,N/A,4.31,"2,493",N/A,N/A,528.6
288620,에스퓨얼셀,65.40,315,63.38,325,N/A,N/A,3.76,"5,475",0.24,5.8,211.2
306200,세아제강,8.58,"7,539",26.08,"2,481",N/A,N/A,0.33,"195,374",2.78,14.3,150.6
293580,나우아이비캐피탈,17.71,277,17.58,279,N/A,N/A,0.68,"7,262",3.06,N/A,N/A
290720,푸드나무,21.90,"1,055",21.83,"1,058",19.00,"1,210",3.28,"7,046",0.43,N/A,828.4
293480,하나제약,12.40,"1,972",12.39,"1,974",N/A,N/A,1.91,"12,768",1.14,187.1,472.1
110790,크리스에프앤씨,7.07,"3,233",7.23,"3,160",N/A,N/A,1.31,"17,486",1.23,30.1,276.2
299170,IBKS제10호스팩,-121.11,-18,N/A,N/A,N/A,N/A,1.13,"1,924",N/A,N/A,N/A
219750,지티지웰니스,-14.96,"-1,103",N/A,N/A,N/A,N/A,5.09,"3,244",N/A,14,152.1
010400,우진아이엔에스,4.65,"2,171",4.65,"2,172",N/A,N/A,0.71,"14,316",3.96,N/A,557.5
257370,명성티엔에스,45.16,320,44.74,323,N/A,N/A,2.43,"5,948",N/A,N/A,214.3
291230,삼성스팩2호,173.75,12,N/A,N/A,N/A,N/A,1.13,"1,851",N/A,N/A,N/A
197140,디지캡,26.85,176,23.51,201,N/A,N/A,1.23,"3,841",N/A,N/A,437.7
303030,대신밸런스제5호스팩,"-1,201.67",-3,N/A,N/A,N/A,N/A,1.91,"1,888",N/A,N/A,N/A
290740,액트로,6.89,"1,648",6.85,"1,656",N/A,N/A,1.76,"6,461",1.79,381.7,234.2
173130,오파스넷,22.35,680,22.35,680,N/A,N/A,2.02,"7,510",N/A,1.9,228.5
089970,에이피티씨,7.83,791,7.75,799,N/A,N/A,2.56,"2,420",3.23,869.6,396.4
086820,바이오솔루션,205.28,199,203.23,201,N/A,N/A,6.43,"6,349",N/A,N/A,N/A
290380,대유,16.61,837,16.59,838,N/A,N/A,2.07,"6,724",1.58,103.3,857
110990,디아이티,20.33,451,20.15,455,N/A,N/A,1.05,"8,773",1.31,12.5,189.2
275630,에스에스알,37.14,241,36.98,242,N/A,N/A,2.19,"4,096",0.84,N/A,N/A
300720,한일시멘트,5.09,"25,853",10.14,"12,967",N/A,N/A,0.63,"209,463",3.42,17.2,174.9
290270,휴네시온,34.43,246,34.43,246,N/A,N/A,1.83,"4,637",0.59,N/A,884.1
091810,티웨이항공,7.41,945,7.40,946,9.00,748,1.46,"4,805",N/A,5,141.6
286940,롯데정보통신,20.16,"2,205",20.16,"2,205",19.00,"2,350",1.82,"24,419",1.46,9,133.5
080720,한국유니온제약,16.88,"1,158",16.55,"1,181",N/A,N/A,2.00,"9,792",N/A,N/A,280
204020,엠코르셋,12.28,565,12.13,572,N/A,N/A,0.94,"7,378",2.59,10.6,385.3
297570,IBKS제9호스팩,"-2,935.00",-1,N/A,N/A,N/A,N/A,1.54,"1,909",N/A,N/A,N/A
226950,올릭스,-43.03,"-1,334",N/A,N/A,N/A,N/A,6.80,"8,447",N/A,N/A,N/A
298040,효성중공업,96.45,352,166.42,204,7.00,"4,880",0.35,"97,137",N/A,1.5,84.2
298050,효성첨단소재,-10.81,"-10,218",N/A,N/A,6.00,"18,888",1.28,"86,348",N/A,3.6,71.7
298020,효성티앤씨,16.66,"8,492",28.77,"4,919",6.00,"21,840",1.51,"93,535",0.71,2.7,74.8
298000,효성화학,13.70,"11,059",23.63,"6,412",7.00,"22,685",1.31,"115,567",0.66,2.6,60.3
175250,아이큐어,-26.23,"-1,426",N/A,N/A,N/A,N/A,2.70,"13,831",N/A,N/A,372.9
289080,SV인베스트먼트,19.04,136,19.04,136,N/A,N/A,5.03,515,0.58,N/A,N/A
245620,EDGC,-28.88,-233,N/A,N/A,N/A,N/A,5.45,"1,235",N/A,N/A,169.3
294870,HDC현대산업개발,5.78,"7,825",8.65,"5,232",5.00,"8,423",1.08,"41,985",1.11,22.4,160.4
284620,하나금융11호스팩,194.55,11,N/A,N/A,N/A,N/A,1.18,"1,820",N/A,N/A,N/A
037030,파워넷,13.08,403,13.04,404,N/A,N/A,1.33,"3,952",2.75,4.6,300.7
016790,현대사료,-189.00,-100,N/A,N/A,N/A,N/A,2.05,"9,239",0.53,4.8,195.4
258830,세종메디칼,18.82,603,18.73,606,N/A,N/A,1.76,"6,448",4.06,38.3,820.5
122310,제노레이,9.89,"2,188",8.99,"2,407",N/A,N/A,2.20,"9,837",1.39,30,384.3
291210,한국제7호스팩,210.00,10,N/A,N/A,N/A,N/A,1.15,"1,831",N/A,N/A,N/A
