,기업명,PER,EPS,PER(krx),EPS(krx),추정PER,추정EPS,PBR,BPS,배당수익률,이자보상배율,유동비율
234080,JW생명과학,25.13,999,25.13,999,N/A,N/A,3.64,"6,900",1.99,14.8,80.4
900290,GRT,2.86,784,N/A,N/A,N/A,N/A,0.44,"5,084",3.22,40.7,642.3
900280,골든센츄리,3.86,240,N/A,N/A,N/A,N/A,0.51,"1,827",2.42,68,433.9
189300,인텔리안테크,23.92,"1,279",23.20,"1,319",N/A,N/A,2.89,"10,605",0.33,7.7,297
072990,에이치시티,20.13,529,20.17,528,N/A,N/A,1.62,"6,579",0.63,14.3,134.1
950140,잉글우드랩,-18.11,-297,N/A,N/A,N/A,N/A,1.89,"2,854",N/A,1.8,162.1
238090,앤디포스,-26.13,-204,N/A,N/A,N/A,N/A,2.61,"2,044",0.48,3.1,171.4
050960,수산아이앤티,14.83,462,14.83,462,N/A,N/A,0.64,"10,766",1.10,N/A,N/A
201490,미투온,23.39,345,23.39,345,N/A,N/A,3.64,"2,219",N/A,14.6,158.3
241590,화승엔터프라이즈,55.28,284,55.28,284,20.00,769,3.40,"4,621",0.22,2.6,89.3
250930,케이비제10호스팩,239.17,12,N/A,N/A,N/A,N/A,1.46,"1,966",N/A,N/A,N/A
229640,LS전선아시아,22.26,323,22.26,323,N/A,N/A,1.76,"4,078",2.22,5.7,124.7
241690,유니테크노,27.83,469,27.83,469,N/A,N/A,2.47,"5,274",N/A,11,249.5
250060,모비스,-245.00,-11,N/A,N/A,N/A,N/A,3.47,777,N/A,N/A,437.5
242040,나무기술,-17.40,-242,N/A,N/A,N/A,N/A,8.51,495,N/A,2.4,186.6
234920,자이글,-15.75,-461,N/A,N/A,N/A,N/A,1.19,"6,125",4.13,N/A,230.1
249420,일동제약,35.03,561,34.96,562,21.00,940,1.61,"12,217",1.94,5.9,125
900270,헝셩그룹,3.71,310,N/A,N/A,N/A,N/A,0.38,"3,010",2.66,13.4,417.5
248170,샘표식품,7.69,"3,938",7.69,"3,940",N/A,N/A,1.05,"28,841",0.66,24,176.7
230360,에코마케팅,43.89,949,43.75,952,N/A,N/A,7.78,"5,353",0.94,185.7,327.7
038160,팍스넷,-36.07,-178,N/A,N/A,N/A,N/A,1.69,"3,800",N/A,N/A,165
016740,두올,8.10,426,7.93,435,N/A,N/A,0.70,"4,912",2.32,10.8,136.2
208860,엔지스테크널러지,-63.01,-103,N/A,N/A,N/A,N/A,5.74,"1,130",N/A,N/A,78.7
073560,우리손에프앤지,6.89,391,6.89,391,N/A,N/A,1.04,"2,602",0.93,5.7,102.9
123010,옵토팩,-7.11,-873,N/A,N/A,N/A,N/A,4.92,"1,261",N/A,N/A,80.6
026960,동서,16.17,"1,169",16.03,"1,179",N/A,N/A,1.48,"12,811",3.70,781.7,905.1
174880,장원테크,11.43,304,10.93,318,N/A,N/A,1.52,"2,286",5.76,15.9,83.8
071460,대유위니아,-9.79,-404,N/A,N/A,N/A,N/A,1.96,"2,018",1.26,N/A,83.5
123890,한국자산신탁,4.67,907,4.60,921,N/A,N/A,0.79,"5,332",4.30,N/A,N/A
034830,한국토지신탁,3.54,662,3.44,682,N/A,N/A,0.69,"3,379",4.69,N/A,N/A
142760,바이오리더스,-10.18,"-1,081",N/A,N/A,N/A,N/A,7.47,"1,472",N/A,N/A,126.6
237750,피앤씨테크,20.53,359,20.53,359,N/A,N/A,0.83,"8,869",N/A,28.5,544.3
900260,로스웰,9.84,125,N/A,N/A,N/A,N/A,0.53,"2,300",4.44,3.2,368.8
195870,해성디에스,12.81,"1,226",12.81,"1,226",12.00,"1,364",1.36,"11,549",1.91,0.8,169.7
144510,녹십자랩셀,403.68,95,403.68,95,N/A,N/A,8.48,"4,522",0.09,N/A,352.3
237690,에스티팜,-35.11,-497,N/A,N/A,N/A,N/A,0.98,"17,773",2.87,N/A,819.6
148250,알엔투테크놀로지,99.34,152,99.34,152,N/A,N/A,4.32,"3,494",0.26,7.6,375.8
239340,줌인터넷,"1,211.25",4,N/A,N/A,N/A,N/A,2.48,"1,950",N/A,N/A,N/A
243070,휴온스,11.26,"5,035",11.24,"5,044",12.00,"4,759",3.12,"18,197",1.28,43.8,204.9
070960,용평리조트,32.45,212,32.45,212,N/A,N/A,0.80,"8,604",1.02,0.5,53.2
101530,해태제과식품,115.71,84,105.65,92,N/A,N/A,0.90,"10,796",1.54,0.7,61.8
240810,원익IPS,11.12,"2,105",11.12,"2,105",16.00,"1,432",2.62,"8,948",0.94,180.6,187
228850,레이언스,15.35,948,14.79,984,N/A,N/A,1.26,"11,557",0.69,67.5,796.5
225330,씨엠에스에듀,22.99,278,22.66,282,N/A,N/A,2.86,"2,233",4.07,26,25.3
228340,동양파일,-17.43,-319,N/A,N/A,N/A,N/A,0.81,"6,876",2.70,36.7,967.8
004440,대림씨엔에스,-16.66,-578,N/A,N/A,N/A,N/A,0.44,"21,717",0.73,29.6,421.8
222110,팬젠,-20.37,-481,N/A,N/A,N/A,N/A,3.51,"2,794",N/A,N/A,165.3
211270,AP위성,-159.55,-44,N/A,N/A,N/A,N/A,1.21,"5,817",N/A,898.3,663
230980,솔트웍스,"4,010.00",1,"4,010.00",1,N/A,N/A,2.17,"1,846",N/A,0.4,108.2
115180,큐리언트,-6.31,"-3,383",N/A,N/A,N/A,N/A,-3.52,"-6,065",N/A,N/A,N/A
065660,안트로젠,-464.71,-119,N/A,N/A,N/A,N/A,8.46,"6,539",N/A,N/A,230.8
236200,슈프리마,22.39,"1,608",22.39,"1,608",N/A,N/A,2.35,"15,342",N/A,N/A,N/A
194370,제이에스코퍼레이션,43.28,439,41.58,457,17.00,"1,095",1.56,"12,182",2.37,29,303.3
226350,아이엠텍,-0.94,"-1,249",N/A,N/A,N/A,N/A,11.30,104,N/A,0.2,93.9
142210,유니트론텍,11.76,618,11.50,632,N/A,N/A,1.88,"3,867",1.10,2.9,162
900250,크리스탈신소재,5.59,371,N/A,N/A,N/A,N/A,0.59,"3,513",1.33,56.8,543.6
221610,한솔씨앤피,-2.93,"-2,748",N/A,N/A,N/A,N/A,1.30,"6,206",6.22,3.9,213.5
109610,에스와이,69.58,72,83.50,60,N/A,N/A,1.11,"4,524",0.88,N/A,118.1
224060,코디엠,-8.09,-88,N/A,N/A,N/A,N/A,1.79,398,N/A,N/A,69.1
152330,코리아오토글라스,9.76,"2,167",9.76,"2,167",N/A,N/A,1.23,"17,250",3.78,41,178.8
226320,잇츠한불,64.49,376,51.82,468,45.00,534,0.98,"24,688",0.62,10.1,700.1
232140,와이아이케이,5.63,475,5.61,477,N/A,N/A,1.49,"1,793",0.00,N/A,434.5
191410,육일씨엔에쓰,135.00,24,129.60,25,N/A,N/A,0.86,"3,762",N/A,N/A,77.6
223310,이에스브이,-1.19,-249,N/A,N/A,N/A,N/A,1.12,266,33.67,N/A,39.5
145020,휴젤,24.45,"16,030",22.42,"17,481",30.00,"12,872",2.28,"172,069",N/A,19.1,N/A
222980,한국맥널티,73.90,136,73.36,137,N/A,N/A,1.78,"5,637",0.50,6.5,171.8
206560,덱스터,68.07,119,66.94,121,N/A,N/A,3.11,"2,607",N/A,4.1,275.7
013310,아진산업,-6.27,-420,N/A,N/A,N/A,N/A,0.46,"5,676",N/A,0.7,63.1
217730,강스템바이오텍,-25.80,-721,N/A,N/A,N/A,N/A,8.12,"2,290",N/A,N/A,180
047920,씨트리,-9.26,-521,N/A,N/A,N/A,N/A,3.93,"1,228",N/A,N/A,145.4
133750,메가엠디,44.00,50,41.51,53,N/A,N/A,0.80,"2,760",2.27,5.1,95.1
225530,보광산업,33.83,132,33.83,132,N/A,N/A,2.67,"1,671",1.12,5.2,209.6
140860,파크시스템스,47.75,844,47.75,844,N/A,N/A,7.42,"5,434",0.25,N/A,539
230240,에치에프알,-331.76,-74,N/A,N/A,N/A,N/A,3.91,"6,286",0.09,6.7,256.4
122640,예스티,-32.35,-456,N/A,N/A,N/A,N/A,3.25,"4,533",N/A,0.1,181.9
222040,코스맥스엔비티,31.71,369,31.71,369,25.00,470,2.66,"4,406",0.95,1.6,85.7
058110,멕아이씨에스,-9.60,-505,N/A,N/A,N/A,N/A,5.12,947,N/A,1.2,99.2
217820,엔에스,19.91,658,19.91,658,N/A,N/A,2.36,"5,540",1.14,3.5,135.5
213090,미래테크놀로지,-409.55,-22,N/A,N/A,N/A,N/A,0.95,"9,451",1.33,291.3,292.7
075580,세진중공업,109.78,46,109.78,46,19.00,264,1.25,"4,048",0.40,1.5,54.1
221840,하이즈항공,116.04,48,109.22,51,N/A,N/A,1.25,"4,439",0.56,1.7,292.1
197210,리드,-6.04,-969,N/A,N/A,N/A,N/A,2.18,"2,686",N/A,N/A,86.9
180400,캔서롭,-29.54,-262,N/A,N/A,N/A,N/A,4.69,"1,650",N/A,N/A,531.3
127160,매직마이크로,-19.94,-83,N/A,N/A,N/A,N/A,1.42,"1,166",N/A,N/A,58.6
221980,케이디켐,7.45,"1,699",7.35,"1,722",N/A,N/A,0.68,"18,500",3.95,75,642
212560,네오오토,8.04,736,8.04,736,N/A,N/A,0.60,"9,847",1.01,1.9,96.4
227950,마이크로텍,-6.28,-250,N/A,N/A,N/A,N/A,1.82,864,N/A,N/A,94.8
214370,케어젠,27.24,"2,808",25.93,"2,950",N/A,N/A,3.23,"23,720",0.78,N/A,N/A
185490,아이진,-22.41,-531,N/A,N/A,N/A,N/A,5.87,"2,028",N/A,N/A,N/A
190510,나무가,38.08,"1,187",34.74,"1,301",N/A,N/A,3.93,"11,511",N/A,N/A,82.5
056090,유앤아이,-4.31,"-1,907",N/A,N/A,N/A,N/A,1.60,"5,135",N/A,N/A,195.3
214330,금호에이치티,7.26,766,8.80,632,N/A,N/A,0.70,"7,887",1.35,0.7,244.6
089590,제주항공,13.31,"2,689",13.28,"2,696",9.00,"3,771",2.46,"14,540",1.82,7.9,103.2
226340,본느,441.82,11,373.85,13,N/A,N/A,5.70,852,N/A,67.5,374.7
115960,연우,46.97,594,46.97,594,21.00,"1,324",1.81,"15,453",N/A,8.2,235.9
182400,에이티젠,-16.63,-830,N/A,N/A,N/A,N/A,9.82,"1,406",N/A,N/A,130.6
227840,현대코퍼레이션홀딩스,29.39,490,28.07,513,N/A,N/A,0.75,"19,293",3.47,N/A,490.2
092870,엑시콘,15.61,374,13.87,421,N/A,N/A,0.73,"8,027",1.71,N/A,422.1
226360,이엑스티,34.49,117,33.62,120,N/A,N/A,2.68,"1,507",1.49,200.5,388.4
214870,뉴지랩,-13.98,-507,N/A,N/A,N/A,N/A,3.25,"2,184",0.70,5.1,159.2
225430,케이엠제약,-5.22,-620,N/A,N/A,N/A,N/A,2.70,"1,198",0.17,5.9,380.8
226440,한송네오텍,-23.90,-73,N/A,N/A,N/A,N/A,3.88,450,N/A,3.4,518.3
225590,패션플랫폼,30.41,49,26.61,56,N/A,N/A,1.19,"1,257",N/A,N/A,325.6
079550,LIG넥스원,168.97,203,168.97,203,31.00,"1,099",1.16,"29,552",1.46,1.6,109
225570,넷게임즈,-16.04,-530,N/A,N/A,N/A,N/A,10.75,791,N/A,N/A,248.4
217190,제너셈,-3.59,-769,N/A,N/A,N/A,N/A,1.33,"2,083",1.81,3.6,83
219130,타이거일렉,13.47,344,13.47,344,N/A,N/A,0.70,"6,626",N/A,143.5,740.9
039570,HDC아이콘트롤스,6.78,"1,473",6.78,"1,473",N/A,N/A,0.79,"12,614",3.50,N/A,225.2
002690,동일제강,322.78,9,322.78,9,N/A,N/A,0.33,"8,726",0.34,51.2,571
175140,인포마크,290.88,34,290.88,34,N/A,N/A,1.66,"5,969",N/A,N/A,118.9
225650,쿠첸,96.72,64,96.72,64,N/A,N/A,1.09,"5,691",N/A,N/A,154.6
222080,씨아이에스,-15.19,-156,N/A,N/A,N/A,N/A,3.34,709,N/A,N/A,112.4
220630,해마로푸드서비스,14.59,181,14.59,181,N/A,N/A,3.44,767,1.14,17.3,115.5
224110,에이텍티앤,16.43,575,16.24,582,N/A,N/A,1.06,"8,925",1.06,64.9,248.2
196700,웹스,"-1,127.50",-2,N/A,N/A,N/A,N/A,0.79,"2,849",N/A,N/A,105.3
095570,AJ네트웍스,4.79,"1,124",4.79,"1,124",N/A,N/A,0.74,"7,231",1.86,N/A,57.6
131760,파인텍,-1.39,-916,N/A,N/A,N/A,N/A,0.82,"1,557",N/A,N/A,50
222810,한류AI센터,-2.99,-742,N/A,N/A,N/A,N/A,1.63,"1,356",N/A,N/A,57.9
222800,심텍,29.17,205,28.75,208,N/A,N/A,0.68,"8,742",2.68,N/A,46.9
189980,흥국에프엔비,21.17,376,20.25,393,N/A,N/A,0.94,"8,506",1.26,13.8,163.7
222420,쎄노텍,-33.66,-71,N/A,N/A,N/A,N/A,2.60,921,N/A,8.6,300.2
094360,칩스앤미디어,33.15,356,33.15,356,N/A,N/A,3.07,"3,849",0.61,123.6,976.1
127710,아시아경제,1.86,"1,138",1.86,"1,138",N/A,N/A,0.50,"4,211",3.78,1.6,175.7
214430,아이쓰리시스템,14.70,"1,395",14.56,"1,408",N/A,N/A,2.02,"10,131",1.32,231.1,342.1
067730,로지시스,39.81,79,39.81,79,N/A,N/A,1.75,"1,796",3.18,N/A,238
220260,켐트로스,12.23,229,12.17,230,N/A,N/A,1.88,"1,486",N/A,0.3,264.1
214450,파마리서치프로덕트,33.91,"1,467",32.56,"1,528",N/A,N/A,2.50,"19,939",0.60,23.1,621.9
219550,MP한강,15.57,70,15.57,70,N/A,N/A,1.97,553,17.34,56.4,N/A
087010,펩트론,-77.55,-245,N/A,N/A,N/A,N/A,6.46,"2,943",N/A,N/A,860.8
214320,이노션,17.93,"3,842",17.93,"3,842",16.00,"4,268",1.89,"36,374",2.18,77.8,167.2
214420,토니모리,-23.95,-428,N/A,N/A,N/A,N/A,1.70,"6,018",0.98,N/A,159.2
085620,미래에셋생명,8.42,553,6.12,760,N/A,N/A,0.36,"12,938",3.65,N/A,N/A
218410,RFHIC,26.04,"1,081",25.97,"1,084",22.00,"1,281",4.04,"6,976",0.71,14.3,383.4
094170,동운아나텍,-12.55,-564,N/A,N/A,N/A,N/A,4.61,"1,535",0.26,N/A,173.5
214180,민앤지,22.62,"1,072",22.58,"1,074",N/A,N/A,3.19,"7,607",1.07,325.4,194.8
178780,유테크,-1.05,"-1,640",N/A,N/A,N/A,N/A,2.02,854,N/A,N/A,61.8
214390,경보제약,17.70,549,17.70,549,N/A,N/A,1.56,"6,233",2.06,19.4,170.8
160600,에스엔텍,11.34,441,11.06,452,N/A,N/A,1.57,"3,192",N/A,11,118.6
217600,켐온,117.31,13,108.93,14,N/A,N/A,2.70,565,N/A,36.3,389.5
166480,코아스템,-53.24,-216,N/A,N/A,N/A,N/A,2.90,"3,960",N/A,N/A,736
214310,세미콘라이트,-3.48,-289,N/A,N/A,N/A,N/A,2.06,487,N/A,N/A,127.8
210980,SK디앤디,8.73,"3,235",8.73,"3,237",11.00,"2,463",1.54,"18,316",2.12,N/A,146
177350,베셀,29.87,114,28.86,118,N/A,N/A,1.16,"2,924",2.94,N/A,141.9
217270,넵튠,-5.92,"-1,677",N/A,N/A,N/A,N/A,2.92,"3,401",N/A,N/A,29.4
218150,미래생명자원,37.37,99,35.24,105,N/A,N/A,2.32,"1,598",N/A,7,354.1
160980,싸이맥스,7.34,"1,226",6.98,"1,289",N/A,N/A,0.90,"10,022",2.78,5,378.3
217500,러셀,"1,995.00",1,997.50,2,N/A,N/A,1.59,"1,255",1.00,15.9,478.6
087600,픽셀플러스,-5.28,"-1,164",N/A,N/A,N/A,N/A,0.50,"12,293",1.63,N/A,N/A
217620,디딤,35.47,75,35.00,76,N/A,N/A,2.89,922,N/A,2.9,76.8
187420,제노포커스,-71.23,-106,N/A,N/A,N/A,N/A,2.73,"2,768",N/A,2.1,336.1
215380,우정바이오,-17.86,-161,N/A,N/A,N/A,N/A,3.30,872,N/A,30.5,281.5
215480,토박스코리아,-12.02,-104,N/A,N/A,N/A,N/A,2.71,461,N/A,N/A,282.3
215790,이노인스트루먼트,-28.32,-208,N/A,N/A,N/A,N/A,2.00,"2,941",N/A,N/A,272.6
215360,우리산업,19.69,"1,338",19.69,"1,338",14.00,"1,891",2.21,"11,913",0.38,7.4,133.4
215200,메가스터디교육,10.30,"3,501",10.28,"3,508",N/A,N/A,1.98,"18,246",2.36,25.5,62
215090,한컴유니맥스,-79.77,-86,N/A,N/A,N/A,N/A,6.50,"1,055",N/A,N/A,212.7
215100,로보로보,29.22,148,29.22,148,N/A,N/A,3.05,"1,416",0.67,N/A,875.1
214680,디알텍,68.28,29,68.28,29,N/A,N/A,2.79,709,N/A,7,215.2
195990,유지인트,-3.99,-139,N/A,N/A,N/A,N/A,0.51,"1,085",1.68,N/A,138.2
215000,골프존,21.94,"3,254",21.94,"3,255",N/A,N/A,2.30,"31,075",2.59,53.3,201.3
214150,클래시스,55.58,242,55.58,242,N/A,N/A,16.32,824,0.10,101.9,192
138250,엔에스쇼핑,12.23,"1,026",12.01,"1,045",13.00,994,0.94,"13,337",1.20,7.4,58.9
214270,퓨쳐스트림네트웍스,37.98,42,37.98,42,N/A,N/A,3.54,451,N/A,N/A,92
145210,세화아이엠씨,-1.99,"-1,506",N/A,N/A,N/A,N/A,3.20,935,1.42,N/A,45.2
189690,포시에스,8.15,841,8.14,842,N/A,N/A,1.02,"6,732",1.39,N/A,672.7
213420,덕산네오룩스,19.96,784,19.96,784,23.00,669,2.67,"5,872",N/A,523.9,717.8
213500,한솔제지,8.87,"1,601",8.86,"1,602",6.00,"2,409",0.60,"23,815",4.22,3.3,87.2
210540,디와이파워,5.97,"2,310",5.97,"2,311",N/A,N/A,1.01,"13,609",1.45,29.6,160.4
060480,국일신동,88.57,91,80.60,100,N/A,N/A,1.98,"4,067",0.62,62.7,641.5
206640,바디텍메드,-156.25,-72,N/A,N/A,N/A,N/A,3.99,"2,823",0.44,7.5,458.4
208640,썸에이지,-2.69,-336,N/A,N/A,N/A,N/A,7.99,113,N/A,N/A,105
193250,와이제이엠게임즈,-7.63,-293,N/A,N/A,N/A,N/A,1.56,"1,435",0.45,N/A,210.9
204630,화이브라더스코리아,650.00,5,650.00,5,N/A,N/A,2.07,"1,570",N/A,N/A,183.2
200470,하이셈,7.46,844,7.46,844,N/A,N/A,1.96,"3,222",N/A,5.2,108.7
200670,휴메딕스,29.36,923,28.05,966,N/A,N/A,2.52,"10,737",2.08,135.7,236.1
208710,바이오로그디바이스,10.37,214,10.33,215,N/A,N/A,1.32,"1,687",N/A,5.9,151.9
189860,서전기전,12.03,347,12.03,347,N/A,N/A,1.10,"3,806",1.32,N/A,133.9
067390,아스트,47.21,233,46.81,235,N/A,N/A,1.84,"5,976",N/A,1,166.9
080580,오킨스전자,173.68,19,173.68,19,N/A,N/A,0.87,"3,775",N/A,N/A,105.4
208350,지란지교시큐리티,29.41,51,30.00,50,N/A,N/A,1.51,995,0.80,N/A,526.9
160550,NEW,-12.82,-504,N/A,N/A,72.00,90,1.53,"4,223",N/A,N/A,124.9
124500,아이티센,-265.79,-19,N/A,N/A,N/A,N/A,2.44,"2,070",N/A,N/A,121
028260,삼성물산,10.40,"8,953",8.97,"10,384",17.00,"5,600",0.77,"120,938",2.15,2.8,104.2
142280,녹십자엠에스,-8.83,"-1,120",N/A,N/A,N/A,N/A,6.13,"1,613",N/A,N/A,159.8
187220,디티앤씨,79.14,151,79.14,151,N/A,N/A,1.53,"7,792",N/A,1.4,80.1
208370,셀바스헬스케어,-2.40,-816,N/A,N/A,N/A,N/A,1.17,"1,665",N/A,N/A,91.6
208140,정다운,7.21,445,7.21,445,N/A,N/A,1.36,"2,365",N/A,1.9,104.2
149980,하이로닉,-375.00,-18,N/A,N/A,N/A,N/A,2.25,"3,005",0.04,44.4,711.3
084650,랩지노믹스,-14.88,-420,N/A,N/A,N/A,N/A,2.10,"2,974",N/A,1.4,372.1
200710,에이디테크놀로지,14.80,919,14.59,932,N/A,N/A,2.54,"5,353",0.74,14.7,253.8
200780,비씨월드제약,17.91,"1,075",17.07,"1,128",N/A,N/A,1.66,"11,619",0.52,30.4,150.2
207760,미스터블루,30.09,113,30.09,113,N/A,N/A,2.58,"1,316",0.59,32.6,192.9
196170,알테오젠,-84.31,-513,N/A,N/A,N/A,N/A,8.92,"4,851",N/A,N/A,N/A
206400,엔터메이트,-2.44,-325,N/A,N/A,N/A,N/A,5.32,149,N/A,2.7,279.6
178920,SKC코오롱PI,25.06,"1,191",25.06,"1,191",26.00,"1,163",3.39,"8,810",2.78,10.4,123.9
140520,대창스틸,-4.92,-578,N/A,N/A,N/A,N/A,0.59,"4,809",3.52,0.7,82.8
173940,에프엔씨엔터,-90.45,-89,N/A,N/A,N/A,N/A,1.73,"4,652",4.97,N/A,187
205470,휴마시스,-60.16,-31,N/A,N/A,N/A,N/A,3.24,576,N/A,N/A,507.9
112610,씨에스윈드,116.47,343,105.69,378,N/A,N/A,2.05,"19,520",1.00,7.5,170.7
200230,텔콘RF제약,-35.70,-179,N/A,N/A,N/A,N/A,3.42,"1,871",N/A,3.7,120.2
194510,파티게임즈,0.90,595,0.89,604,N/A,N/A,0.43,"1,248",N/A,N/A,74.7
204840,지엘팜텍,-14.78,-162,N/A,N/A,N/A,N/A,10.99,218,N/A,2.1,130
204620,글로벌텍스프리,18.83,227,18.92,226,N/A,N/A,2.08,"2,055",N/A,1.9,585.3
196490,디에이테크놀로지,-14.50,-242,N/A,N/A,N/A,N/A,2.18,"1,609",0.29,N/A,153
018260,삼성에스디에스,26.00,"8,134",25.99,"8,137",24.00,"8,990",2.73,"77,342",0.95,50.1,329.6
205500,액션스퀘어,-3.54,-425,N/A,N/A,N/A,N/A,3.30,456,N/A,N/A,208.7
205100,엑셈,18.53,180,18.12,184,N/A,N/A,1.82,"1,835",N/A,N/A,515.2
191420,테고사이언스,-133.41,-226,N/A,N/A,N/A,N/A,5.22,"5,781",N/A,N/A,N/A
192440,슈피겐코리아,10.23,"6,870",9.93,"7,082",9.00,"7,735",1.62,"43,334",1.64,90.8,473.3
182690,테라셈,-2.73,-463,N/A,N/A,N/A,N/A,3.24,390,3.95,N/A,46.6
143540,영우디에스피,-1.02,"-1,176",N/A,N/A,N/A,N/A,2.27,532,N/A,N/A,98.1
203650,드림시큐리티,38.69,88,37.83,90,N/A,N/A,4.94,689,N/A,N/A,768.2
041920,메디아나,20.27,375,20.11,378,N/A,N/A,1.32,"5,764",0.66,186.6,532.8
194480,데브시스터즈,-5.57,"-1,613",N/A,N/A,N/A,N/A,0.77,"11,735",N/A,N/A,N/A
204320,만도,13.49,"2,250",13.45,"2,257",11.00,"2,799",1.00,"30,236",1.65,4.8,119.5
203690,프로스테믹스,-36.55,-139,N/A,N/A,N/A,N/A,7.09,716,N/A,N/A,N/A
192410,감마누,-1.98,-206,N/A,N/A,N/A,N/A,0.38,"1,075",8.17,N/A,306.5
198440,고려시멘트,21.84,147,21.54,149,N/A,N/A,1.19,"2,705",1.09,N/A,145
200880,서연이화,-27.27,-245,N/A,N/A,N/A,N/A,0.28,"24,219",1.50,N/A,100.1
187270,신화콘텍,-43.20,-75,N/A,N/A,N/A,N/A,0.62,"5,220",0.61,N/A,259
192400,쿠쿠홀딩스,10.84,"13,096",9.34,"15,206",N/A,N/A,1.45,"98,052",2.11,N/A,242
177830,파버나인,11.14,439,10.68,458,N/A,N/A,0.89,"5,472",N/A,N/A,90.9
090410,덕신하우징,7.20,214,6.91,223,N/A,N/A,0.82,"1,877",1.95,6.9,178.3
004650,창해에탄올,36.76,404,32.28,460,N/A,N/A,1.11,"13,326",4.04,4.9,92.9
192390,윈하이텍,7.16,649,6.95,669,N/A,N/A,0.78,"5,984",2.58,3.1,112.7
059120,아진엑스텍,12.05,655,12.19,647,N/A,N/A,1.21,"6,523",2.54,39.8,954.3
200130,콜마비앤에이치,15.30,"1,637",15.30,"1,637",13.00,"1,858",3.62,"6,928",0.80,273.2,171.3
133820,화인베스틸,55.08,66,54.25,67,N/A,N/A,1.07,"3,410",N/A,1,87.4
105550,트루윈,-45.48,-115,N/A,N/A,N/A,N/A,2.56,"2,045",N/A,N/A,58.2
196450,디오스텍,-6.32,-110,N/A,N/A,N/A,N/A,1.56,445,N/A,0.2,94.7
071850,캐스텍코리아,42.95,78,47.86,70,N/A,N/A,0.43,"7,722",0.60,0.4,93.8
027410,BGF,12.78,575,12.78,575,N/A,N/A,0.47,"15,720",0.48,23.4,521.2
187790,나노,-61.11,-36,N/A,N/A,N/A,N/A,1.12,"1,956",0.91,0.2,122.4
192250,케이사인,-222.86,-7,N/A,N/A,N/A,N/A,2.02,773,0.64,3.5,415.4
192820,코스맥스,34.66,"3,246",34.65,"3,247",24.00,"4,775",4.26,"26,420",0.53,2.5,91
138080,오이솔루션,177.25,334,177.25,334,12.00,"4,804",6.73,"8,794",0.20,71.5,252.9
108790,인터파크,-27.54,-203,N/A,N/A,22.00,251,1.18,"4,751",1.79,8.7,96.8
053300,한국정보인증,15.30,252,15.30,252,N/A,N/A,1.50,"2,565",2.08,525.4,295.8
154040,솔루에타,-3.77,"-1,147",N/A,N/A,N/A,N/A,0.83,"5,204",N/A,4.1,93.4
090850,이지웰페어,43.71,197,41.20,209,N/A,N/A,2.95,"2,915",0.70,29.4,102.6
184230,SGA솔루션즈,-4.44,-331,N/A,N/A,N/A,N/A,1.31,"1,121",0.97,N/A,148.8
049080,기가레인,-5.00,-442,N/A,N/A,N/A,N/A,1.64,"1,348",1.10,N/A,117.6
150840,인트로메딕,-17.01,-328,N/A,N/A,N/A,N/A,6.95,803,N/A,N/A,80.2
085810,알티캐스트,-7.43,-325,N/A,N/A,N/A,N/A,0.55,"4,352",N/A,N/A,184.2
185750,종근당,22.70,"4,088",22.57,"4,112",21.00,"4,349",2.23,"41,575",0.92,23.5,199.9
170030,현대공업,50.68,66,49.93,67,N/A,N/A,0.51,"6,496",1.97,N/A,240.1
067570,엔브이에이치코리아,-5.03,-595,N/A,N/A,N/A,N/A,0.60,"4,977",3.34,0.4,80.5
134580,디엠티,21.79,131,21.15,135,N/A,N/A,1.07,"2,661",2.28,N/A,361.2
006880,신송홀딩스,-4.10,"-1,176",N/A,N/A,N/A,N/A,0.46,"10,520",1.66,N/A,104
182360,큐브엔터,104.15,41,104.15,41,N/A,N/A,6.79,629,N/A,95.5,161.6
171120,라이온켐텍,81.86,102,80.29,104,N/A,N/A,1.46,"5,728",2.01,7.3,202.7
171010,램테크놀러지,30.27,131,30.27,131,N/A,N/A,2.40,"1,650",N/A,5,55.4
161570,THE MIDONG,-3.76,-909,N/A,N/A,N/A,N/A,1.44,"2,364",N/A,N/A,N/A
138360,에이씨티,-26.99,-166,N/A,N/A,N/A,N/A,1.69,"2,658",1.34,N/A,347.1
183190,아세아시멘트,22.59,"4,001",22.57,"4,005",10.00,"8,997",0.45,"200,079",1.66,N/A,158.2
076610,해성옵틱스,-6.84,-479,N/A,N/A,N/A,N/A,1.35,"2,427",3.05,3.8,58.3
168330,내츄럴엔도텍,-6.43,-954,N/A,N/A,N/A,N/A,3.79,"1,617",N/A,N/A,93.2
064350,현대로템,-5.69,"-3,539",N/A,N/A,67.00,303,1.64,"12,282",N/A,0.1,126.9
131970,테스나,20.36,"2,370",19.83,"2,433",N/A,N/A,3.95,"12,209",0.35,26.7,69.6
150900,파수닷컴,50.54,93,43.93,107,N/A,N/A,2.09,"2,247",1.06,N/A,256.1
170920,엘티씨,99.10,111,96.49,114,N/A,N/A,0.92,"11,899",0.91,2.4,135
119850,지엔씨에너지,10.53,418,10.38,424,N/A,N/A,0.94,"4,686",1.14,12.8,207.5
180640,한진칼,-63.54,-683,N/A,N/A,28.00,"1,549",1.75,"24,821",0.69,5.3,107.7
